Sample;Distance in [km];Carrier;Country pair;Lead time;Equipment;Volume yearly [m3];Customer;Domestic;Origin region;Destination region;Holiday;Driver stress level;Loading meter;Driver exp in years;Inflation rate;Pick up time;Carrier Hub Loc;Price
570;1350,344;Carrier3;DE-GB;45,01146667;Standard;3680;Customer1;no;Origin_west;Dest_north;1;13;11;26;4;16pm;PL;1292,640422
571;903,316;Carrier4;DE-FR;30,11053333;Standard;7840;Customer1;no;Origin_east;Dest_south;1;29;0;35;-1;15pm;HU;1075,833885
572;1097,57;Carrier5;DE-PL;36,58566667;Standard;4240;Customer1;no;Origin_north;Dest_north;0;23;10;10;3;15pm;NL;1139,505049
573;935,984;Carrier6;FR-DE;31,19946667;Standard;1040;Customer1;no;Origin_west;Dest_north;0;18;6;16;3;16pm;TR;1043,210901
574;773,218;Carrier7;NL-DE;25,77393333;Standard;5840;Customer1;no;Origin_north;Dest_north;0;25;8;37;1;16pm;GB;988,0756131
575;1083,026;Carrier1;DE-GB;36,10086667;Standard;4000;Customer1;no;Origin_east;Dest_south;1;24;11;3;-1;15pm;DE;1134,008202
576;827,874;Carrier2;GB-DE;27,5958;Mega;720;Customer4;no;Origin_north;Dest_east;1;25;9;2;-1;16pm;FR;900,2266856
577;646,277;Carrier3;CZ-DE;21,54256667;Standard;5120;Customer1;no;Origin_west;Dest_east;0;20;6;13;-1;16pm;PL;880,0836888
578;487,437;Carrier4;DE-FR;16,2479;Standard;7520;Customer1;no;Origin_east;Dest_west;1;21;10;32;-1;16pm;HU;837,0842618
579;1026,061;Carrier5;DE-FR;34,20203333;Standard;6320;Customer1;no;Origin_west;Dest_south;0;36;1;31;1;14pm;NL;1139,58979
580;426,452;Carrier6;DE-DE;14,21506667;Standard;880;Customer1;yes;Origin_west;Dest_east;1;40;5;12;0;16pm;TR;752,2711174
581;950,671;Carrier7;DE-PL;31,68903333;Standard;2560;Customer1;no;Origin_east;Dest_south;1;32;14;5;1;15pm;GB;1053,211478
582;2369,78261;Carrier1;TR-DE;78,99275367;Standard;4000;Customer1;no;Origin_east;Dest_east;1;28;1;18;1;14pm;DE;1843,869635
583;1108,417;Carrier2;GB-DE;36,94723333;Mega;4480;Customer4;no;Origin_west;Dest_south;0;21;8;21;4;16pm;FR;1085,664242
584;257,865;Carrier3;DE-DE;8,5955;Mega;2560;Customer4;yes;Origin_east;Dest_south;0;38;1;35;1;14pm;PL;601,8641291
585;1496,578;Carrier4;GB-DE;49,88593333;Standard;7440;Customer1;no;Origin_west;Dest_south;1;20;2;17;4;16pm;HU;1388,499387
586;607,756;Carrier5;CZ-DE;20,25853333;Standard;6000;Customer1;no;Origin_north;Dest_north;0;32;0;32;0;14pm;NL;873,0490373
587;927,98;Carrier6;DE-PL;30,93266667;Standard;7920;Customer1;no;Origin_south;Dest_north;0;17;6;27;2;14pm;TR;1072,791401
588;928,266;Carrier7;DE-HU;30,9422;Standard;4560;Customer3;no;Origin_north;Dest_north;0;17;7;26;0;14pm;GB;1100,474454
589;827,046;Carrier1;NL-DE;27,5682;Standard;7120;Customer1;no;Origin_east;Dest_south;1;40;8;3;1;14pm;DE;1001,058276
590;834,581;Carrier2;NL-DE;27,81936667;Standard;6640;Customer1;no;Origin_south;Dest_east;1;37;5;14;4;16pm;FR;1006,468193
591;420,641;Carrier3;CZ-DE;14,02136667;Standard;2400;Customer1;no;Origin_north;Dest_east;1;13;14;4;3;14pm;PL;733,0219172
592;836,744;Carrier4;PL-DE;27,89146667;Mega;1120;Customer4;no;Origin_north;Dest_west;0;20;6;31;4;16pm;HU;908,0121207
593;791,77;Carrier5;DE-PL;26,39233333;Mega;2000;Customer2;no;Origin_south;Dest_east;0;22;6;33;4;14pm;NL;979,8708307
594;910,236;Carrier6;DE-HU;30,3412;Standard;7520;Customer1;no;Origin_east;Dest_east;0;30;7;8;3;15pm;TR;1051,145406
595;254,921;Carrier7;DE-DE;8,497366667;Standard;4320;Customer1;yes;Origin_west;Dest_south;1;26;4;11;3;14pm;GB;682,7952967
596;279,614;Carrier1;DE-DE;9,320466667;Standard;3760;Customer1;yes;Origin_east;Dest_east;1;34;4;27;3;15pm;DE;666,5676633
597;58,341;Carrier2;DE-DE;1,9447;Mega;4960;Customer4;yes;Origin_west;Dest_west;1;20;8;19;1;15pm;FR;500,5223294
598;480,295;Carrier3;CZ-DE;16,00983333;Standard;1920;Customer1;no;Origin_west;Dest_north;1;13;1;6;4;15pm;PL;763,6762707
599;184,705;Carrier4;NL-DE;6,156833333;Mega;2080;Customer4;no;Origin_east;Dest_west;0;24;5;29;1;16pm;HU;561,371164
600;795,16;Carrier5;NL-DE;26,50533333;Standard;5120;Customer1;no;Origin_west;Dest_west;0;12;8;3;4;15pm;NL;986,772596
601;578,002;Carrier6;DE-CZ;19,26673333;Standard;8000;Customer1;no;Origin_north;Dest_west;0;14;8;31;1;16pm;TR;878,6503177
602;225,218;Carrier7;DE-DE;7,507266667;Standard;7840;Customer1;yes;Origin_south;Dest_east;1;33;6;6;-1;16pm;GB;690,1365093
603;1217,28;Carrier1;DE-PL;40,576;Standard;2880;Customer1;no;Origin_west;Dest_south;0;19;12;12;-1;14pm;DE;1180,623978
604;686,542;Carrier2;DE-HU;22,88473333;Standard;6160;Customer1;no;Origin_south;Dest_west;1;17;13;30;3;14pm;FR;896,9374984
605;1441,975;Carrier3;GB-DE;48,06583333;Standard;1520;Customer1;no;Origin_south;Dest_west;0;25;8;34;2;14pm;PL;1312,281361
606;1064,658;Carrier4;DE-PL;35,4886;Standard;2640;Customer1;no;Origin_east;Dest_south;0;25;11;5;0;14pm;HU;1105,376508
607;339,536;Carrier5;DE-DE;11,31786667;Mega;880;Customer4;yes;Origin_north;Dest_east;0;31;2;13;4;15pm;NL;645,6054997
608;1070,069;Carrier6;DE-HU;35,66896667;Standard;7120;Customer1;no;Origin_south;Dest_south;1;17;3;37;2;14pm;TR;1139,290529
609;1086,1;Carrier7;DE-HU;36,20333333;Standard;4320;Customer1;no;Origin_west;Dest_west;0;27;8;7;4;14pm;GB;1133,528222
610;1179,467;Carrier1;GB-DE;39,31556667;Standard;7680;Customer1;no;Origin_north;Dest_east;0;10;9;7;0;16pm;DE;1196,615174
611;437,643;Carrier2;DE-DE;14,5881;Standard;4640;Customer3;yes;Origin_north;Dest_west;1;22;9;19;0;14pm;FR;821,9518898
612;947,5544;Carrier3;FR-DE;31,58514667;Standard;6960;Customer1;no;Origin_north;Dest_west;0;25;4;37;4;16pm;PL;1077,317105
613;549,671;Carrier4;NL-DE;18,32236667;Standard;7120;Customer1;no;Origin_north;Dest_south;1;30;13;15;-1;16pm;HU;856,5104705
614;346,963;Carrier5;CZ-DE;11,56543333;Standard;5920;Customer1;no;Origin_west;Dest_east;1;10;2;7;0;16pm;NL;724,1409344
615;629,535;Carrier6;NL-DE;20,9845;Standard;2320;Customer1;no;Origin_south;Dest_east;0;27;10;13;2;14pm;TR;877,7117493
616;332,185;Carrier7;FR-DE;11,07283333;Standard;3600;Customer1;no;Origin_west;Dest_south;1;16;6;5;0;14pm;GB;721,7671611
617;594,437;Carrier1;DE-DE;19,81456667;Mega;2160;Customer5;yes;Origin_north;Dest_north;0;15;0;28;4;14pm;DE;809,3292847
618;988,858;Carrier2;PL-DE;32,96193333;Mega;4480;Customer4;no;Origin_east;Dest_north;0;40;11;33;3;16pm;FR;1008,846516
619;770,607;Carrier3;FR-DE;25,6869;Standard;2320;Customer1;no;Origin_east;Dest_north;0;10;14;12;3;16pm;PL;944,7226994
620;847,3;Carrier4;PL-DE;28,24333333;Mega;6000;Customer4;no;Origin_north;Dest_north;1;11;4;18;0;16pm;HU;947,6416132
621;812,082;Carrier5;DE-HU;27,0694;Standard;6640;Customer1;no;Origin_west;Dest_north;1;17;9;2;-1;15pm;NL;984,8348651
622;665,529;Carrier6;DE-CZ;22,1843;Standard;6800;Customer3;no;Origin_west;Dest_north;1;22;14;35;4;15pm;TR;975,2685081
623;605,512;Carrier7;DE-DE;20,18373333;Mega;6240;Customer5;yes;Origin_east;Dest_south;1;13;3;28;-1;15pm;GB;870,1027669
624;142,023;Carrier1;DE-DE;4,7341;Standard;3600;Customer1;yes;Origin_west;Dest_south;0;16;0;34;4;14pm;DE;587,191037
625;1042,592;Carrier2;DE-PL;34,75306667;Standard;3520;Customer1;no;Origin_north;Dest_west;1;30;10;3;4;14pm;FR;1090,066624
626;859,1258;Carrier3;FR-DE;28,63752667;Standard;1600;Customer1;no;Origin_south;Dest_east;0;27;13;21;-1;16pm;PL;990,1192629
627;1160,524;Carrier4;GB-DE;38,68413333;Standard;7680;Customer1;no;Origin_north;Dest_west;0;33;8;10;3;16pm;HU;1199,006996
628;266,735;Carrier5;DE-DE;8,891166667;Standard;7680;Customer1;yes;Origin_west;Dest_north;0;36;11;31;0;15pm;NL;703,8386179
629;302,81;Carrier6;DE-CZ;10,09366667;Standard;4160;Customer1;no;Origin_east;Dest_east;1;25;11;25;1;15pm;TR;695,7225304
630;746,452;Carrier7;DE-CZ;24,88173333;Standard;2480;Customer1;no;Origin_west;Dest_west;1;35;3;36;3;14pm;GB;940,9136673
631;677,383;Carrier1;CZ-DE;22,57943333;Standard;7360;Customer1;no;Origin_north;Dest_north;1;30;4;31;3;16pm;DE;904,3858392
632;305,186;Carrier2;DE-CZ;10,17286667;Standard;3440;Customer1;no;Origin_north;Dest_north;0;25;9;24;0;14pm;FR;674,5311317
633;956,113;Carrier3;DE-FR;31,87043333;Standard;4240;Customer1;no;Origin_east;Dest_south;1;12;10;34;1;14pm;PL;1076,672091
634;446,589;Carrier4;DE-DE;14,8863;Standard;6160;Customer1;yes;Origin_west;Dest_south;1;33;8;16;-1;15pm;HU;791,2548738
635;539,701;Carrier5;DE-CZ;17,99003333;Standard;1920;Customer1;no;Origin_west;Dest_south;1;13;2;19;2;15pm;NL;810,6355984
636;204,595;Carrier6;FR-DE;6,819833333;Standard;8000;Customer1;no;Origin_east;Dest_west;1;10;7;31;1;14pm;TR;675,099235
637;438,098;Carrier7;DE-DE;14,60326667;Standard;1520;Customer1;yes;Origin_south;Dest_north;1;16;9;19;1;16pm;GB;767,7070098
638;868,59;Carrier1;DE-FR;28,953;Standard;5920;Customer1;no;Origin_east;Dest_west;0;31;9;14;0;16pm;DE;1029,651155
639;1306,596;Carrier2;GB-DE;43,5532;Standard;7200;Customer1;no;Origin_south;Dest_south;0;12;11;16;4;15pm;FR;1269,961717
640;662,901;Carrier3;FR-DE;22,0967;Standard;8000;Customer1;no;Origin_north;Dest_east;1;15;5;34;3;16pm;PL;922,5840589
641;659,766;Carrier4;NL-DE;21,9922;Standard;1920;Customer1;no;Origin_south;Dest_south;0;10;5;2;2;15pm;HU;883,3669598
642;568,529;Carrier5;CZ-DE;18,95096667;Standard;7200;Customer1;no;Origin_east;Dest_west;0;25;2;34;-1;14pm;NL;858,985405
643;927,819;Carrier6;DE-FR;30,9273;Standard;1600;Customer1;no;Origin_north;Dest_north;1;38;14;34;4;15pm;TR;1055,628255
644;482,273;Carrier7;DE-DE;16,07576667;Mega;6480;Customer4;yes;Origin_south;Dest_east;1;23;14;4;4;15pm;GB;774,1473252
645;591,581;Carrier1;PL-DE;19,71936667;Mega;6640;Customer5;no;Origin_east;Dest_west;0;30;8;28;0;16pm;DE;820,8910609
646;1122,917;Carrier2;GB-DE;37,43056667;Mega;480;Customer4;no;Origin_north;Dest_north;0;34;6;21;4;15pm;FR;1066,39121
647;798,496;Carrier3;FR-DE;26,61653333;Standard;400;Customer1;no;Origin_east;Dest_north;0;32;8;5;3;16pm;PL;947,3886795
648;1165,743;Carrier4;PL-DE;38,8581;Standard;6400;Customer1;no;Origin_north;Dest_west;1;17;2;27;-1;14pm;HU;1184,346144
649;681,05;Carrier5;DE-PL;22,70166667;Standard;3440;Customer1;no;Origin_east;Dest_west;0;28;5;14;0;15pm;NL;897,062791
650;1084,197;Carrier6;DE-HU;36,1399;Standard;1520;Customer1;no;Origin_west;Dest_north;0;15;14;32;2;16pm;TR;1108,765295
651;1322,371;Carrier7;DE-GB;44,07903333;Standard;2720;Customer1;no;Origin_east;Dest_west;1;20;14;12;0;14pm;GB;1287,734379
652;216,077;Carrier1;DE-DE;7,202566667;Standard;4640;Customer1;yes;Origin_south;Dest_west;1;20;5;39;-1;14pm;DE;636,4793574
653;669,851;Carrier2;GB-DE;22,32836667;Mega;5200;Customer4;no;Origin_north;Dest_west;1;28;12;28;2;16pm;FR;841,1687357
654;49,676;Carrier3;DE-CZ;1,655866667;Mega;1360;Customer5;no;Origin_south;Dest_west;0;34;2;29;4;16pm;PL;493,9507474
655;490,706;Carrier4;FR-DE;16,35686667;Standard;1200;Customer1;no;Origin_north;Dest_west;0;28;3;35;3;16pm;HU;782,2140047
656;288,625;Carrier5;DE-FR;9,620833333;Standard;4240;Customer1;no;Origin_east;Dest_south;1;15;12;14;4;14pm;NL;705,8306885
657;477,362;Carrier6;CZ-DE;15,91206667;Standard;2000;Customer1;no;Origin_north;Dest_east;0;38;12;40;0;16pm;TR;775,7361169
658;1110,475;Carrier7;PL-DE;37,01583333;Standard;3200;Customer1;no;Origin_east;Dest_west;0;24;1;34;4;15pm;GB;1144,106629
659;1238,5;Carrier1;DE-GB;41,28333333;Standard;7440;Customer1;no;Origin_west;Dest_west;0;16;6;40;3;15pm;DE;1246,124028
660;892,218;Carrier2;DE-HU;29,7406;Standard;4000;Customer1;no;Origin_south;Dest_north;0;27;14;15;2;14pm;FR;999,0476198
661;253,783;Carrier3;DE-DE;8,459433333;Standard;7520;Customer1;yes;Origin_north;Dest_east;1;19;11;29;3;15pm;PL;686,5518758
662;860,597;Carrier4;FR-DE;28,68656667;Standard;5120;Customer1;no;Origin_west;Dest_south;1;15;14;15;2;14pm;HU;1019,580082
663;348,114;Carrier5;PL-DE;11,6038;Mega;5760;Customer2;no;Origin_south;Dest_west;0;27;11;26;2;14pm;NL;749,0330562
664;950,48;Carrier6;DE-PL;31,68266667;Standard;5200;Customer1;no;Origin_west;Dest_north;1;15;13;34;1;15pm;TR;1066,887441
665;704,165;Carrier7;PL-DE;23,47216667;Standard;5360;Customer1;no;Origin_west;Dest_south;1;11;8;4;2;16pm;GB;927,8688871
666;534,292;Carrier1;FR-DE;17,80973333;Standard;7360;Customer1;no;Origin_south;Dest_north;0;27;4;24;0;16pm;DE;836,2027317
667;852,865;Carrier2;DE-FR;28,42883333;Standard;4560;Customer1;no;Origin_west;Dest_north;0;23;1;37;4;14pm;FR;1015,737501
668;1172,667;Carrier3;PL-DE;39,0889;Standard;7520;Customer1;no;Origin_west;Dest_west;1;33;6;2;-1;16pm;PL;1191,57733
669;386,636;Carrier4;DE-DE;12,88786667;Standard;3040;Customer1;yes;Origin_east;Dest_west;1;11;5;9;-1;16pm;HU;735,7257774
670;592,537;Carrier5;DE-DE;19,75123333;Mega;6320;Customer5;yes;Origin_east;Dest_east;1;19;12;23;0;16pm;NL;854,4718373
671;77,649;Carrier6;DE-DE;2,5883;Standard;6000;Customer1;yes;Origin_north;Dest_north;0;13;4;30;1;14pm;TR;589,1275023
672;2858,784;Carrier7;TR-DE;95,2928;Standard;7920;Customer1;no;Origin_west;Dest_west;0;37;5;22;4;16pm;GB;2175,387661
673;1110,615;Carrier1;PL-DE;37,0205;Standard;6480;Customer1;no;Origin_east;Dest_east;0;14;0;5;-1;14pm;DE;1140,342391
674;718,051;Carrier2;DE-PL;23,93503333;Standard;6080;Customer1;no;Origin_west;Dest_west;1;13;14;38;1;14pm;FR;923,0934231
675;992,42;Carrier3;PL-DE;33,08066667;Mega;8000;Customer5;no;Origin_north;Dest_south;1;35;6;11;0;14pm;PL;1067,062048
676;504,982;Carrier4;CZ-DE;16,83273333;Standard;2800;Customer1;no;Origin_west;Dest_west;0;12;7;40;4;15pm;HU;788,1405673
677;125,617;Carrier5;DE-DE;4,187233333;Standard;480;Customer1;yes;Origin_south;Dest_east;0;36;14;17;1;15pm;NL;574,0265188
678;954,435;Carrier6;PL-DE;31,8145;Mega;5200;Customer4;no;Origin_east;Dest_east;1;33;3;24;2;16pm;TR;1011,837313
679;946,935;Carrier7;DE-FR;31,5645;Standard;1280;Customer1;no;Origin_north;Dest_west;1;12;2;24;0;15pm;GB;1068,687189
680;505,162;Carrier1;NL-DE;16,83873333;Standard;2160;Customer1;no;Origin_east;Dest_east;0;16;2;7;-1;15pm;DE;783,812661
681;775,739;Carrier2;NL-DE;25,85796667;Standard;5520;Customer1;no;Origin_east;Dest_east;0;13;4;4;2;16pm;FR;965,2723286
682;418,333;Carrier3;DE-DE;13,94443333;Standard;1760;Customer1;yes;Origin_north;Dest_north;1;39;7;38;-1;16pm;PL;740,5122507
683;1133,609;Carrier4;GB-DE;37,78696667;Standard;6400;Customer1;no;Origin_east;Dest_north;0;32;14;12;-1;15pm;HU;1174,889931
684;436,051;Carrier5;DE-DE;14,53503333;Mega;7920;Customer5;yes;Origin_east;Dest_north;1;33;13;40;1;14pm;NL;776,4897771
685;1125,535;Carrier6;GB-DE;37,51783333;Standard;1120;Customer1;no;Origin_north;Dest_east;0;21;0;40;3;14pm;TR;1142,753874
686;444,461;Carrier7;DE-DE;14,81536667;Standard;7680;Customer1;yes;Origin_north;Dest_west;1;13;10;11;1;14pm;GB;813,7433879
687;431,325;Carrier1;CZ-DE;14,3775;Standard;640;Customer1;no;Origin_north;Dest_east;1;38;13;39;0;15pm;DE;718,1778447
688;3015,212;Carrier2;TR-DE;100,5070667;Standard;6720;Customer1;no;Origin_south;Dest_south;1;27;12;15;0;15pm;FR;2234,108148
689;616,532;Carrier3;PL-DE;20,55106667;Standard;6400;Customer1;no;Origin_north;Dest_north;1;18;6;13;-1;16pm;PL;867,527701
690;363,564;Carrier4;DE-DE;12,1188;Standard;1520;Customer1;yes;Origin_south;Dest_west;0;33;5;34;3;16pm;HU;712,0986395
691;1129,15166;Carrier5;DE-HU;37,63838867;Standard;6880;Customer1;no;Origin_east;Dest_north;1;20;11;23;-1;15pm;NL;1166,863582
692;59,378;Carrier6;DE-DE;1,979266667;Standard;6400;Customer1;yes;Origin_south;Dest_north;1;32;8;17;2;15pm;TR;581,5060124
693;1217,28;Carrier7;PL-DE;40,576;Standard;7360;Customer1;no;Origin_west;Dest_south;1;24;3;38;4;14pm;GB;1233,492529
694;1050,207;Carrier1;DE-PL;35,0069;Standard;5440;Customer1;no;Origin_east;Dest_west;1;14;0;13;1;15pm;DE;1103,212813
695;753,63;Carrier2;DE-FR;25,121;Standard;7040;Customer1;no;Origin_south;Dest_south;0;27;13;24;0;14pm;FR;976,40756
696;893,505;Carrier3;DE-HU;29,7835;Standard;6880;Customer1;no;Origin_west;Dest_north;1;34;10;15;0;16pm;PL;1023,99305
697;1057,167;Carrier4;DE-PL;35,2389;Standard;4960;Customer1;no;Origin_west;Dest_west;1;24;4;13;0;16pm;HU;1117,081518
698;745,489;Carrier5;DE-CZ;24,84963333;Mega;3120;Customer2;no;Origin_west;Dest_north;0;10;13;29;2;15pm;NL;965,654711
699;507,444;Carrier6;DE-FR;16,9148;Standard;7280;Customer1;no;Origin_west;Dest_east;1;25;10;29;3;15pm;TR;855,6035416
700;1480,226;Carrier7;GB-DE;49,34086667;Standard;1200;Customer1;no;Origin_east;Dest_north;0;21;5;26;2;16pm;GB;1349,470517
701;98,529;Carrier1;DE-FR;3,2843;Standard;5360;Customer1;no;Origin_north;Dest_south;1;35;3;29;3;14pm;DE;587,7920009
702;1040,483;Carrier2;DE-PL;34,68276667;Standard;720;Customer1;no;Origin_west;Dest_north;0;23;6;10;-1;14pm;FR;1069,601831
703;1271,566;Carrier3;GB-DE;42,38553333;Standard;2560;Customer1;no;Origin_south;Dest_south;0;24;9;23;-1;15pm;PL;1222,515509
704;874,608;Carrier4;DE-HU;29,1536;Standard;3840;Customer1;no;Origin_north;Dest_west;1;14;0;31;4;14pm;HU;996,7552234
705;1263,792;Carrier5;GB-DE;42,1264;Standard;7040;Customer1;no;Origin_east;Dest_west;0;17;12;29;0;14pm;NL;1257,745891
706;674,293;Carrier6;NL-DE;22,47643333;Standard;4160;Customer1;no;Origin_west;Dest_north;1;26;11;24;3;14pm;TR;915,8210335
707;2754,96546;Carrier7;TR-DE;91,832182;Standard;5600;Customer1;no;Origin_east;Dest_south;1;29;3;8;-1;16pm;GB;2100,401178
708;808,358;Carrier1;DE-FR;26,94526667;Standard;4720;Customer1;no;Origin_south;Dest_east;0;27;13;24;0;14pm;DE;987,1462713
709;700,368;Carrier2;NL-DE;23,3456;Standard;1600;Customer1;no;Origin_west;Dest_south;1;39;3;13;0;14pm;FR;895,4440491
710;1010,766;Carrier3;DE-HU;33,6922;Standard;4400;Customer1;no;Origin_north;Dest_west;0;20;1;3;-1;16pm;PL;1073,622396
711;562,787;Carrier4;DE-CZ;18,75956667;Standard;400;Customer3;no;Origin_south;Dest_east;1;20;14;13;-1;15pm;HU;863,9827944
712;953,916;Carrier5;DE-HU;31,7972;Standard;720;Customer1;no;Origin_west;Dest_south;1;18;10;26;3;16pm;NL;1024,763582
713;674,026;Carrier6;DE-HU;22,46753333;Standard;2800;Customer1;no;Origin_east;Dest_south;1;12;0;5;-1;15pm;TR;884,3085392
714;78,852;Carrier7;DE-DE;2,6284;Standard;6000;Customer1;yes;Origin_north;Dest_east;0;11;7;6;1;16pm;GB;594,2130313
715;1581,016;Carrier1;DE-GB;52,70053333;Standard;3360;Customer1;no;Origin_west;Dest_east;0;36;4;17;-1;14pm;DE;1412,862296
716;807,773;Carrier2;FR-DE;26,92576667;Standard;2320;Customer1;no;Origin_west;Dest_east;0;39;14;7;-1;14pm;FR;961,4512803
717;1101,931;Carrier3;DE-GB;36,73103333;Standard;4320;Customer1;no;Origin_north;Dest_east;1;39;9;29;0;16pm;PL;1155,760182
718;528,241;Carrier4;DE-CZ;17,60803333;Standard;7680;Customer1;no;Origin_west;Dest_south;1;27;10;36;-1;14pm;HU;839,3671158
719;155,18;Carrier5;DE-DE;5,172666667;Standard;880;Customer1;yes;Origin_south;Dest_south;1;10;2;22;3;16pm;NL;593,5935327
720;485,771;Carrier6;DE-CZ;16,19236667;Standard;2320;Customer1;no;Origin_north;Dest_east;1;40;3;13;4;15pm;TR;787,1354252
721;144,37384;Carrier7;DE-DE;4,812461333;Standard;5040;Customer3;yes;Origin_east;Dest_south;1;19;7;36;2;15pm;GB;679,9445217
722;252,775;Carrier1;FR-DE;8,425833333;Mega;6080;Customer2;no;Origin_south;Dest_east;0;36;11;2;0;14pm;DE;696,9841105
723;724,509;Carrier2;DE-PL;24,1503;Mega;6560;Customer5;no;Origin_south;Dest_east;0;39;9;36;2;14pm;FR;904,7684364
724;783,982;Carrier3;FR-DE;26,13273333;Standard;7520;Customer1;no;Origin_west;Dest_south;0;19;6;31;2;16pm;PL;988,1292553
725;570,596;Carrier4;NL-DE;19,01986667;Standard;1040;Customer1;no;Origin_west;Dest_west;1;11;14;27;2;14pm;HU;826,5699758
726;1179,467;Carrier5;DE-GB;39,31556667;Standard;6720;Customer1;no;Origin_south;Dest_east;0;24;4;37;3;14pm;NL;1225,218502
727;2048,18731;Carrier6;TR-DE;68,27291033;Standard;1840;Customer1;no;Origin_west;Dest_west;1;31;8;28;2;14pm;TR;1668,105566
728;380,08061;Carrier7;DE-CZ;12,66935367;Standard;1520;Customer1;no;Origin_west;Dest_east;1;31;14;20;2;14pm;GB;725,9245214
729;743,655;Carrier1;FR-DE;24,7885;Standard;560;Customer1;no;Origin_west;Dest_south;0;36;7;3;4;16pm;DE;908,4935391
730;406,475;Carrier2;DE-DE;13,54916667;Standard;5440;Customer1;yes;Origin_south;Dest_west;0;25;0;33;1;16pm;FR;754,7065147
731;3986,466;Carrier3;TR-DE;132,8822;Standard;7200;Customer1;no;Origin_west;Dest_north;0;17;10;40;4;14pm;PL;2794,22729
732;350,926;Carrier4;DE-DE;11,69753333;Mega;3200;Customer4;yes;Origin_west;Dest_east;0;40;12;11;1;15pm;HU;663,6080017
733;829,944;Carrier5;DE-HU;27,6648;Standard;560;Customer1;no;Origin_south;Dest_west;0;18;11;32;1;14pm;NL;953,1294772
734;3149,584;Carrier6;TR-DE;104,9861333;Standard;2400;Customer1;no;Origin_south;Dest_south;1;39;6;18;3;16pm;TR;2298,399859
735;767,308;Carrier7;NL-DE;25,57693333;Standard;6720;Customer1;no;Origin_east;Dest_north;0;22;10;16;1;14pm;GB;990,7763497
736;663,273;Carrier1;NL-DE;22,1091;Standard;5600;Customer1;no;Origin_south;Dest_north;0;10;11;15;4;16pm;DE;897,4485033
737;665,959;Carrier2;CZ-DE;22,19863333;Mega;480;Customer4;no;Origin_east;Dest_north;1;15;12;6;3;16pm;FR;802,0710199
738;1056,957;Carrier3;DE-GB;35,2319;Standard;4000;Customer1;no;Origin_south;Dest_north;0;22;3;18;0;15pm;PL;1127,978746
739;788,478;Carrier4;DE-HU;26,2826;Standard;4560;Customer1;no;Origin_south;Dest_north;0;27;0;2;4;15pm;HU;952,7054669
740;2773,25737;Carrier5;TR-DE;92,44191233;Standard;1200;Customer1;no;Origin_west;Dest_south;1;21;9;26;1;16pm;NL;2071,725402
741;646,653;Carrier6;DE-HU;21,5551;Standard;1760;Customer1;no;Origin_west;Dest_south;1;32;8;29;4;14pm;TR;861,5604368
742;702,765;Carrier7;PL-DE;23,4255;Standard;8000;Customer1;no;Origin_west;Dest_north;1;39;14;37;3;15pm;GB;945,254757
743;1465,788;Carrier1;GB-DE;48,8596;Standard;6960;Customer1;no;Origin_north;Dest_south;0;20;5;11;1;16pm;DE;1354,463176
744;1303,858;Carrier2;DE-GB;43,46193333;Standard;4320;Customer1;no;Origin_north;Dest_north;1;37;0;9;4;14pm;FR;1266,181523
745;1410,32;Carrier3;DE-GB;47,01066667;Standard;2720;Customer1;no;Origin_east;Dest_west;0;34;4;28;0;14pm;PL;1320,164439
746;1057,282;Carrier4;DE-HU;35,24273333;Standard;3840;Customer3;no;Origin_north;Dest_south;0;26;7;20;4;15pm;HU;1155,676098
747;931,382;Carrier5;PL-DE;31,04606667;Standard;4880;Customer1;no;Origin_north;Dest_east;1;24;2;15;-1;14pm;NL;1044,985963
748;2768,991;Carrier6;TR-DE;92,2997;Standard;3840;Customer1;no;Origin_east;Dest_south;0;38;11;31;1;15pm;TR;2091,878517
749;393,924;Carrier7;DE-DE;13,1308;Mega;2400;Customer5;yes;Origin_east;Dest_south;0;33;1;20;1;14pm;GB;723,3191522
750;618,98772;Carrier1;DE-CZ;20,632924;Standard;3520;Customer1;no;Origin_north;Dest_west;0;13;9;13;-1;14pm;DE;849,1301352
751;82,485;Carrier2;DE-DE;2,7495;Standard;3680;Customer1;yes;Origin_west;Dest_east;0;36;3;35;0;15pm;FR;558,338206
752;493,23;Carrier3;DE-CZ;16,441;Standard;6240;Customer1;no;Origin_south;Dest_north;1;31;12;34;1;14pm;PL;805,1420382
753;504,809;Carrier4;FR-DE;16,82696667;Standard;3680;Customer1;no;Origin_north;Dest_west;1;17;5;19;3;15pm;HU;807,3203949
754;1326,329;Carrier5;DE-GB;44,21096667;Standard;7120;Customer1;no;Origin_north;Dest_west;0;19;0;2;2;15pm;NL;1311,488024
755;2741,49655;Carrier6;TR-DE;91,38321833;Standard;1040;Customer1;no;Origin_south;Dest_north;1;11;2;30;2;14pm;TR;2056,919149
756;382,494;Carrier7;DE-DE;12,7498;Standard;8000;Customer1;yes;Origin_west;Dest_south;0;36;7;11;-1;14pm;GB;780,7100308
757;1080,561;Carrier1;PL-DE;36,0187;Standard;2640;Customer1;no;Origin_west;Dest_south;1;29;0;28;-1;14pm;DE;1096,840679
758;1123,398;Carrier2;DE-HU;37,4466;Standard;4640;Customer3;no;Origin_east;Dest_east;0;25;11;39;-1;15pm;FR;1189,973377
